,Date,Wallet,Token,Sell Basis,Buy Basis,Buy Date,Buy Lot,Period,Amount,Profit
40,2021-10-28,Coinbase Pro,USDT,1.001533833075547,1.0006059193661152,2021-10-28,214.55,0 days,21.176642920000006,0.019650097285209733
41,2021-10-28,Coinbase Pro,USDT,1.001533833075547,1.0006059193661152,2021-10-28,214.55,0 days,8.399888720000007,0.007794371900989487
42,2021-10-28,Coinbase Pro,USDT,1.001533833075547,1.0006059193661152,2021-10-28,214.55,0 days,20.69007787000001,0.019198606904784372
43,2021-10-28,Coinbase Pro,USDT,1.001533833075547,1.0006059193661152,2021-10-28,214.55,0 days,152.4453609,0.1414561403183875
44,2020-02-06,Coinbase,LTC,72.50229101409012,354.99562175024806,2017-12-12,0.56338723,786 days,0.56338723,-159.15313509691788
45,2020-02-06,Coinbase,LTC,72.50229101409012,325.073814511061,2017-12-13,0.30762244,785 days,0.30762243999999994,-77.6966683326555
46,2022-01-23,Coinbase Pro,ADA,1.071909388330883,2.613,2021-08-26,50.0,150 days,50.0,-77.05453058345584
47,2022-01-23,Coinbase Pro,ADA,1.071909388330883,2.2658110138671983,2021-10-02,100.0,113 days,100.0,-119.39016255363153
48,2022-01-23,Coinbase Pro,ADA,1.071909388330883,2.2427172046951767,2021-10-16,100.0,99 days,50.0,-58.54039081821468
49,2022-01-23,Coinbase Pro,ADA,1.071909388330883,2.613,2021-08-26,50.0,150 days,50.0,-77.05453058345584
50,2022-01-23,Coinbase Pro,ADA,1.071909388330883,2.2658110138671983,2021-10-02,100.0,113 days,100.0,-119.39016255363153
51,2022-01-23,Coinbase Pro,ADA,1.071909388330883,2.2427172046951767,2021-10-16,100.0,99 days,50.0,-58.54039081821468
52,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.613,2021-08-26,50.0,182 days,50.0,-87.12195185195822
53,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.2658110138671983,2021-10-02,100.0,145 days,100.0,-139.52500509063626
54,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.2427172046951767,2021-10-16,100.0,131 days,100.0,-137.2156241734341
55,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.1708000000000003,2021-10-26,250.0,121 days,250.0,-325.0597592597911
56,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.1707350003730697,2021-10-15,100.0,132 days,100.0,-130.0174037412234
