,Date,Wallet,Token,Sell Basis,Buy Basis,Buy Date,Buy Lot,Period,Amount,Profit
42,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,1.909333333333333,2021-08-18,30.0,190 days,30.0,-31.163171111174922
43,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.613,2021-08-26,50.0,182 days,50.0,-87.12195185195822
44,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.2658110138671983,2021-10-02,100.0,145 days,100.0,-139.52500509063626
45,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.1106,2021-10-13,50.0,134 days,50.0,-62.001951851958204
46,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.1707350003730697,2021-10-15,100.0,132 days,100.0,-130.0174037412234
47,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.168722265092241,2021-10-15,100.0,132 days,100.0,-129.81613021314053
48,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.163690426890171,2021-10-15,100.0,132 days,100.0,-129.31294639293353
49,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.2427172046951767,2021-10-16,100.0,131 days,100.0,-137.2156241734341
50,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.1610021576717715,2021-10-17,100.0,130 days,100.0,-129.04411947109358
51,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.1708000000000003,2021-10-26,250.0,121 days,70.0,-91.01673259274152
52,2020-07-09,Coinbase Pro,XLM,0.0930035971223021,0.7334769192067639,2018-01-05,100.0,916 days,100.0,-64.04733220844618
53,2020-07-09,Coinbase Pro,XLM,0.0930035971223021,0.2766068188730989,2018-09-24,377.0,654 days,377.0,-69.2184146000504
54,2020-07-09,Coinbase Pro,XLM,0.0930035971223021,0.2381209725653561,2018-10-25,326.0,623 days,79.0,-11.464272660001265
55,2020-07-09,Coinbase Pro,XLM,0.093,0.7334769192067639,2018-01-05,100.0,916 days,100.0,-64.0476919206764
56,2020-07-09,Coinbase Pro,XLM,0.093,0.2766068188730989,2018-09-24,377.0,654 days,100.0,-18.36068188730989
57,2020-07-11,Coinbase Pro,XLM,0.094,0.7334769192067639,2018-01-05,100.0,918 days,100.0,-63.9476919206764
58,2020-07-11,Coinbase Pro,XLM,0.094,0.2766068188730989,2018-09-24,377.0,656 days,100.0,-18.26068188730989
59,2020-07-11,Coinbase Pro,XLM,0.095,0.7334769192067639,2018-01-05,100.0,918 days,100.0,-63.8476919206764
